Comment,Designator,Footprint,LCSC
100uF,C5,C_1206_3216Metric,C15008
10nF,"C4,C6",C_0402_1005Metric,C15195
100nF,"C2,C3",C_0402_1005Metric,C1525
TYPE-C-USB-SMD,J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C167321
MMBT3904,"Q5,Q6",SOT-23,C20526
Red,"D3,D8",LED_0603_1608Metric,C2286
White,"D1,D4,D5",LED_0603_1608Metric,C2290
100R,"R10,R14,R15,R22,R4,R7",R_0402_1005Metric,C25076
1R,"R11,R9",R_0402_1005Metric,C25086
200R,"R19,R28,R8",R_0402_1005Metric,C25087
300R,R27,R_0402_1005Metric,C25102
330R,R18,R_0402_1005Metric,C25104
10k,"R1,R12,R13,R16,R17,R20,R21,R23,R24,R25,R26,R5,R6",R_0402_1005Metric,C25744
5.1k,"R2,R3",R_0402_1005Metric,C25905
BOOT,"SW1,SW2",TS-1187A-B-A-B,C318884
Polyfuse-3A,"F1,F2",Fuse_1206_3216Metric,C516068
22uF,C1,C_1206_3216Metric,C5672
AMS1117-3.3,U1,SOT-223,C6186
Yellow,D10,LED_0603_1608Metric,C72038
Green,"D2,D6,D7,D9",LED_0603_1608Metric,C72043
BSS138,"Q1,Q2,Q3,Q4,Q7",SOT-23,C78284
CH340C,U4,SOP-16_3.9x9.9mm_P1.27mm,C84681
SRV05-4-P-T7,U3,SOT-23-6,C85364
