Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_1206_3216Metric,157.4,-107.325,90.0,top
C2,100nF,C_0402_1005Metric,158.0,-101.98,-90.0,top
C3,100nF,C_0402_1005Metric,155.7,-108.62,90.0,top
C4,10nF,C_0402_1005Metric,156.8,-101.98,-90.0,top
C5,100uF,C_1206_3216Metric,157.4,-122.675,90.0,top
C6,10nF,C_0402_1005Metric,155.67,-121.26,-90.0,top
D1,White,LED_0603_1608Metric,187.98,-120.0,180.0,top
D2,Green,LED_0603_1608Metric,183.13,-127.97,180.0,top
D3,Red,LED_0603_1608Metric,183.13,-126.47,180.0,top
D4,White,LED_0603_1608Metric,193.98,-120.0,180.0,top
D5,White,LED_0603_1608Metric,190.98,-120.0,180.0,top
D6,Green,LED_0603_1608Metric,151.55,-108.91,180.0,top
D7,Green,LED_0603_1608Metric,193.98,-110.0,180.0,top
D8,Red,LED_0603_1608Metric,187.98,-110.0,180.0,top
D9,Green,LED_0603_1608Metric,190.98,-110.0,180.0,top
D10,Yellow,LED_0603_1608Metric,151.5575,-121.1,180.0,top
F1,Polyfuse-3A,Fuse_1206_3216Metric,168.0,-102.9,90.0,top
F2,Polyfuse-3A,Fuse_1206_3216Metric,161.9,-113.8,180.0,top
J1,TYPE-C-USB-SMD,USB_C_Receptacle_XKB_U262-16XN-4BVC11,153.8,-115.0,-90.0,top
Q1,BSS138,SOT-23,203.73,-115.0,180.0,top
Q2,BSS138,SOT-23,199.0,-127.0,90.0,top
Q3,BSS138,SOT-23,203.72,-118.63,180.0,top
Q4,BSS138,SOT-23,199.4,-103.5,-90.0,top
Q5,MMBT3904,SOT-23,157.7,-126.9,-90.0,top
Q6,MMBT3904,SOT-23,168.51,-127.4875,90.0,top
Q7,BSS138,SOT-23,203.73,-111.28,180.0,top
R1,10k,R_0402_1005Metric,158.3,-129.4,0.0,top
R2,5.1k,R_0402_1005Metric,162.7,-116.2,0.0,top
R3,5.1k,R_0402_1005Metric,160.7,-116.2,180.0,top
R4,100R,R_0402_1005Metric,180.2,-116.25,90.0,top
R5,10k,R_0402_1005Metric,199.9,-106.41,90.0,top
R6,10k,R_0402_1005Metric,196.67,-114.99,180.0,top
R7,100R,R_0402_1005Metric,181.13,-128.18,90.0,top
R8,200R,R_0402_1005Metric,181.13,-126.27,-90.0,top
R9,1R,R_0402_1005Metric,156.8,-103.99,-90.0,top
R10,100R,R_0402_1005Metric,180.2,-121.25,90.0,top
R11,1R,R_0402_1005Metric,158.0,-104.01,90.0,top
R12,10k,R_0402_1005Metric,201.69,-128.3,0.0,top
R13,10k,R_0402_1005Metric,200.1,-123.69,-90.0,top
R14,100R,R_0402_1005Metric,180.2,-118.75,90.0,top
R15,100R,R_0402_1005Metric,154.01,-109.16,0.0,top
R16,10k,R_0402_1005Metric,201.6,-123.7,-90.0,top
R17,10k,R_0402_1005Metric,201.6,-125.8,90.0,top
R18,330R,R_0402_1005Metric,180.2,-108.75,90.0,top
R19,200R,R_0402_1005Metric,180.2,-111.25,90.0,top
R20,10k,R_0402_1005Metric,201.5,-105.29,-90.0,top
R21,10k,R_0402_1005Metric,201.73,-102.53,90.0,top
R22,100R,R_0402_1005Metric,180.2,-113.75,90.0,top
R23,10k,R_0402_1005Metric,168.3,-124.9,180.0,top
R24,10k,R_0402_1005Metric,156.3,-129.4,180.0,top
R25,10k,R_0402_1005Metric,201.5,-107.4,90.0,top
R26,10k,R_0402_1005Metric,202.83,-102.53,90.0,top
R27,300R,R_0402_1005Metric,194.69,-114.99,0.0,top
R28,200R,R_0402_1005Metric,154.02,-120.84,180.0,top
SW1,BOOT,TS-1187A-B-A-B,163.0,-127.0,0.0,top
SW2,RESET,TS-1187A-B-A-B,163.0,-102.875,0.0,top
U1,AMS1117-3.3,SOT-223,164.0,-109.0,0.0,top
U3,SRV05-4-P-T7,SOT-23-6,167.3875,-114.7,0.0,top
U4,CH340C,SOP-16_3.9x9.9mm_P1.27mm,164.845,-120.6,-90.0,top
